 temp-sweep      abs(v(alim))    v(drain)        v(gate)         v(source)       v(body)         i(Vd)           i(Vg)           i(Vs)           i(Vb)          
 2.50000000e+01  0.00000000e+00  1.10000000e+00  0.00000000e+00  1.10000000e+00  0.00000000e+00 -3.83551743e-03  1.47351970e-07 -3.83551743e-03  7.67088751e-03 
 2.50000000e+01  5.00000000e-02  1.10000000e+00  5.00000000e-02  1.10000000e+00  0.00000000e+00 -3.83550544e-03  1.22385401e-07 -3.83550544e-03  7.67088849e-03 
 2.50000000e+01  1.00000000e-01  1.10000000e+00  1.00000000e-01  1.10000000e+00  0.00000000e+00 -3.83549532e-03  1.01737388e-07 -3.83549532e-03  7.67088890e-03 
 2.50000000e+01  1.50000000e-01  1.10000000e+00  1.50000000e-01  1.10000000e+00  0.00000000e+00 -3.83548669e-03  8.43250165e-08 -3.83548669e-03  7.67088905e-03 
 2.50000000e+01  2.00000000e-01  1.10000000e+00  2.00000000e-01  1.10000000e+00  0.00000000e+00 -3.83547930e-03  6.94947821e-08 -3.83547930e-03  7.67088911e-03 
 2.50000000e+01  2.50000000e-01  1.10000000e+00  2.50000000e-01  1.10000000e+00  0.00000000e+00 -3.83547297e-03  5.68284175e-08 -3.83547297e-03  7.67088912e-03 
 2.50000000e+01  3.00000000e-01  1.10000000e+00  3.00000000e-01  1.10000000e+00  0.00000000e+00 -3.83546758e-03  4.60268125e-08 -3.83546758e-03  7.67088912e-03 
 2.50000000e+01  3.50000000e-01  1.10000000e+00  3.50000000e-01  1.10000000e+00  0.00000000e+00 -3.83546299e-03  3.68529449e-08 -3.83546299e-03  7.67088912e-03 
 2.50000000e+01  4.00000000e-01  1.10000000e+00  4.00000000e-01  1.10000000e+00  0.00000000e+00 -3.83545911e-03  2.91065100e-08 -3.83545911e-03  7.67088912e-03 
 2.50000000e+01  4.50000000e-01  1.10000000e+00  4.50000000e-01  1.10000000e+00  0.00000000e+00 -3.83545587e-03  2.26128861e-08 -3.83545587e-03  7.67088912e-03 
 2.50000000e+01  5.00000000e-01  1.10000000e+00  5.00000000e-01  1.10000000e+00  0.00000000e+00 -3.83545317e-03  1.72179804e-08 -3.83545317e-03  7.67088912e-03 
 2.50000000e+01  5.50000000e-01  1.10000000e+00  5.50000000e-01  1.10000000e+00  0.00000000e+00 -3.83545095e-03  1.27852817e-08 -3.83545095e-03  7.67088912e-03 
 2.50000000e+01  6.00000000e-01  1.10000000e+00  6.00000000e-01  1.10000000e+00  0.00000000e+00 -3.83544916e-03  9.19359522e-09 -3.83544916e-03  7.67088912e-03 
 2.50000000e+01  6.50000000e-01  1.10000000e+00  6.50000000e-01  1.10000000e+00  0.00000000e+00 -3.83544773e-03  6.33478359e-09 -3.83544773e-03  7.67088912e-03 
 2.50000000e+01  7.00000000e-01  1.10000000e+00  7.00000000e-01  1.10000000e+00  0.00000000e+00 -3.83544662e-03  4.11139278e-09 -3.83544662e-03  7.67088912e-03 
 2.50000000e+01  7.50000000e-01  1.10000000e+00  7.50000000e-01  1.10000000e+00  0.00000000e+00 -3.83544578e-03  2.43526643e-09 -3.83544578e-03  7.67088912e-03 
 2.50000000e+01  8.00000000e-01  1.10000000e+00  8.00000000e-01  1.10000000e+00  0.00000000e+00 -3.83544518e-03  1.23260113e-09 -3.83544518e-03  7.67088912e-03 
 2.50000000e+01  8.50000000e-01  1.10000000e+00  8.50000000e-01  1.10000000e+00  0.00000000e+00 -3.83544479e-03  4.67342387e-10 -3.83544479e-03  7.67088912e-03 
 2.50000000e+01  9.00000000e-01  1.10000000e+00  9.00000000e-01  1.10000000e+00  0.00000000e+00 -3.83544462e-03  1.08905995e-10 -3.83544462e-03  7.67088912e-03 
 2.50000000e+01  9.50000000e-01  1.10000000e+00  9.50000000e-01  1.10000000e+00  0.00000000e+00 -3.83544456e-03 -2.33502107e-11 -3.83544456e-03  7.67088914e-03 
 2.50000000e+01  1.00000000e+00  1.10000000e+00  1.00000000e+00  1.10000000e+00  0.00000000e+00 -3.83544449e-03 -3.02125880e-10 -3.83544449e-03  7.67088928e-03 
 2.50000000e+01  1.05000000e+00  1.10000000e+00  1.05000000e+00  1.10000000e+00  0.00000000e+00 -3.83544384e-03 -2.57464805e-09 -3.83544384e-03  7.67089026e-03 
 2.50000000e+01  1.10000000e+00  1.10000000e+00  1.10000000e+00  1.10000000e+00  0.00000000e+00 -3.83544003e-03 -1.60049907e-08 -3.83544003e-03  7.67089607e-03 
