 temp-sweep      abs(v(alim))    v(drain)        v(gate)         v(source)       v(body)         i(Vd)           i(Vg)           i(Vs)           i(Vb)          
 2.50000000e+01  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.10000000e+00  0.00000000e+00  2.75670806e-04  8.36103545e-08 -4.59605184e-03  4.32029743e-03 
 2.50000000e+01  5.00000000e-02  0.00000000e+00  5.00000000e-02  1.10000000e+00  0.00000000e+00  2.67139203e-04  6.87703322e-08 -4.58750754e-03  4.32029957e-03 
 2.50000000e+01  1.00000000e-01  0.00000000e+00  1.00000000e-01  1.10000000e+00  0.00000000e+00  2.58025505e-04  5.70744150e-08 -4.57838310e-03  4.32030052e-03 
 2.50000000e+01  1.50000000e-01  0.00000000e+00  1.50000000e-01  1.10000000e+00  0.00000000e+00  2.48301376e-04  4.74552929e-08 -4.56864973e-03  4.32030089e-03 
 2.50000000e+01  2.00000000e-01  0.00000000e+00  2.00000000e-01  1.10000000e+00  0.00000000e+00  2.37935683e-04  3.92878866e-08 -4.55827600e-03  4.32030103e-03 
 2.50000000e+01  2.50000000e-01  0.00000000e+00  2.50000000e-01  1.10000000e+00  0.00000000e+00  2.26894086e-04  3.22252460e-08 -4.54722738e-03  4.32030107e-03 
 2.50000000e+01  3.00000000e-01  0.00000000e+00  3.00000000e-01  1.10000000e+00  0.00000000e+00  2.15138381e-04  2.60652135e-08 -4.53546552e-03  4.32030107e-03 
 2.50000000e+01  3.50000000e-01  0.00000000e+00  3.50000000e-01  1.10000000e+00  0.00000000e+00  2.02625628e-04  2.06728190e-08 -4.52294738e-03  4.32030107e-03 
 2.50000000e+01  4.00000000e-01  0.00000000e+00  4.00000000e-01  1.10000000e+00  0.00000000e+00  1.89307258e-04  1.59433380e-08 -4.50962427e-03  4.32030107e-03 
 2.50000000e+01  4.50000000e-01  0.00000000e+00  4.50000000e-01  1.10000000e+00  0.00000000e+00  1.75128791e-04  1.17866437e-08 -4.49544165e-03  4.32030107e-03 
 2.50000000e+01  5.00000000e-01  0.00000000e+00  5.00000000e-01  1.10000000e+00  0.00000000e+00  1.60031691e-04  8.12092171e-09 -4.48034088e-03  4.32030107e-03 
 2.50000000e+01  5.50000000e-01  0.00000000e+00  5.50000000e-01  1.10000000e+00  0.00000000e+00  1.43960659e-04  4.87009144e-09 -4.46426660e-03  4.32030107e-03 
 2.50000000e+01  6.00000000e-01  0.00000000e+00  6.00000000e-01  1.10000000e+00  0.00000000e+00  1.26882825e-04  1.96256633e-09 -4.44718586e-03  4.32030107e-03 
 2.50000000e+01  6.50000000e-01  0.00000000e+00  6.50000000e-01  1.10000000e+00  0.00000000e+00  1.08829764e-04 -6.69569511e-10 -4.42913109e-03  4.32030200e-03 
 2.50000000e+01  7.00000000e-01  0.00000000e+00  7.00000000e-01  1.10000000e+00  0.00000000e+00  8.99768392e-05 -3.09124459e-09 -4.41027482e-03  4.32030107e-03 
 2.50000000e+01  7.50000000e-01  0.00000000e+00  7.50000000e-01  1.10000000e+00  0.00000000e+00  7.07671536e-05 -5.36443023e-09 -4.39106286e-03  4.32030107e-03 
 2.50000000e+01  8.00000000e-01  0.00000000e+00  8.00000000e-01  1.10000000e+00  0.00000000e+00  5.20472585e-05 -7.54403251e-09 -4.37234078e-03  4.32030107e-03 
 2.50000000e+01  8.50000000e-01  0.00000000e+00  8.50000000e-01  1.10000000e+00  0.00000000e+00  3.50887049e-05 -9.66152225e-09 -4.35538011e-03  4.32030107e-03 
 2.50000000e+01  9.00000000e-01  0.00000000e+00  9.00000000e-01  1.10000000e+00  0.00000000e+00  2.12904315e-05 -1.17522494e-08 -4.34157975e-03  4.32030107e-03 
 2.50000000e+01  9.50000000e-01  0.00000000e+00  9.50000000e-01  1.10000000e+00  0.00000000e+00  1.15301151e-05 -1.39853400e-08 -4.33181722e-03  4.32030109e-03 
 2.50000000e+01  1.00000000e+00  0.00000000e+00  1.00000000e+00  1.10000000e+00  0.00000000e+00  5.63446174e-06 -1.66809948e-08 -4.32591903e-03  4.32030125e-03 
 2.50000000e+01  1.05000000e+00  0.00000000e+00  1.05000000e+00  1.10000000e+00  0.00000000e+00  2.56533291e-06 -2.12557612e-08 -4.32284649e-03  4.32030242e-03 
 2.50000000e+01  1.10000000e+00  0.00000000e+00  1.10000000e+00  1.10000000e+00  0.00000000e+00  1.13421527e-06 -3.47496449e-08 -4.32140962e-03  4.32031016e-03 
