Temperature,Vdd,Vdrain,Vgate,Vsource,Vbody,Idrain,Igate,Isource,Ibody
25.0,0.0,0.0,0.0,0.0,0.0,-5.76993899e-22,8.81201696e-21,-5.76993899e-22,-7.658029160000001e-21
25.0,0.05,0.0,0.0,0.05,0.0,4.19703051e-10,5.1076426e-12,-4.24810694e-10,9.20791419e-20
25.0,0.1,0.0,0.0,0.1,0.0,5.36509913e-10,1.39085284e-11,-5.50418442e-10,2.59867885e-19
25.0,0.15,0.0,0.0,0.15,0.0,6.2685668e-10,2.73669803e-11,-6.54223661e-10,4.91305e-19
25.0,0.2,0.0,0.0,0.2,0.0,7.22696159e-10,4.66315014e-11,-7.69327661e-10,7.89561162e-19
25.0,0.25,0.0,0.0,0.25,0.0,8.29554123e-10,7.30653341e-11,-9.02619459e-10,1.1658516e-18
25.0,0.3,0.0,0.0,0.3,0.0,9.50194745e-10,1.08281409e-10,-1.05847616e-09,1.63489333e-18
25.0,0.35,0.0,0.0,0.35,0.0,1.0869778e-09,1.54182428e-10,-1.24116023e-09,2.21450936e-18
25.0,0.4,0.0,0.0,0.4,0.0,1.24232476e-09,2.13006844e-10,-1.4553316e-09,2.9258547199999997e-18
25.0,0.45,0.0,0.0,0.45,0.0,1.41887316e-09,2.87381563e-10,-1.70625473e-09,3.79384981e-18
25.0,0.5,0.0,0.0,0.5,0.0,1.61955677e-09,3.80382318e-10,-1.99993909e-09,4.8477371499999995e-18
25.0,0.55,0.0,0.0,0.55,0.0,1.84766503e-09,4.95602777e-10,-2.34326782e-09,6.12174274e-18
25.0,0.6,0.0,0.0,0.6,0.0,2.10689798e-09,6.37233574e-10,-2.74413156e-09,7.65584311e-18
25.0,0.65,0.0,0.0,0.65,0.0,2.40142213e-09,8.10152645e-10,-3.21157478e-09,9.496646469999999e-18
25.0,0.7,0.0,0.0,0.7,0.0,2.7359304e-09,1.02002839e-09,-3.7559588e-09,1.1698400499999998e-17
25.0,0.75,0.0,0.0,0.75,0.0,3.11570731e-09,1.27343742e-09,-4.38914475e-09,1.4324141399999998e-17
25.0,0.8,0.0,0.0,0.8,0.0,3.54670073e-09,1.57799886e-09,-5.12469961e-09,1.74470012e-17
25.0,0.85,0.0,0.0,0.85,0.0,4.03560108e-09,1.94252742e-09,-5.97812852e-09,2.1151691799999998e-17
25.0,0.9,0.0,0.0,0.9,0.0,4.58992913e-09,2.37720781e-09,-6.96713696e-09,2.5536186399999997e-17
25.0,0.95,0.0,0.0,0.95,0.0,5.21813337e-09,2.89379326e-09,-8.1119267e-09,8.039040469999999e-17
25.0,1.0,0.0,0.0,1.0,0.0,5.92969827e-09,3.50583149e-09,-9.43553062e-09,8.65672012e-16
25.0,1.05,0.0,0.0,1.05,0.0,6.73526488e-09,4.22892166e-09,-1.09643074e-08,1.20896838e-13
25.0,1.1,0.0,0.0,1.1,0.0,7.64676531e-09,5.08100648e-09,-1.27339813e-08,6.20953333e-12
