Temperature,Vdd,Vdrain,Vgate,Vsource,Vbody,Idrain,Igate,Isource,Ibody
25.0,0.0,0.0,0.0,0.0,0.0,-5.76993899e-22,8.81201696e-21,-5.76993899e-22,-7.658029160000001e-21
25.0,0.05,0.0,0.05,0.0,0.0,2.22178794e-12,-4.44361214e-12,2.22178794e-12,4.8395433299999995e-17
25.0,0.1,0.0,0.1,0.0,0.0,2.23640423e-12,-4.47292203e-12,2.23640423e-12,1.0578391e-16
25.0,0.15,0.0,0.15,0.0,0.0,7.34111542e-13,-1.46849199e-12,7.34111542e-13,1.73965934e-16
25.0,0.2,0.0,0.2,0.0,0.0,2.8604949e-12,-5.72131231e-12,2.8604949e-12,2.58169803e-16
25.0,0.25,0.0,0.25,0.0,0.0,8.90682471e-12,-1.78139725e-11,8.90682471e-12,3.75177779e-16
25.0,0.3,0.0,0.3,0.0,0.0,2.00328938e-11,-4.00659506e-11,2.00328938e-11,5.74148719e-16
25.0,0.35,0.0,0.35,0.0,0.0,4.4738756e-11,-8.94786467e-11,4.4738756e-11,9.86175725e-16
25.0,0.4,0.0,0.4,0.0,0.0,9.56136825e-11,-1.91229033e-10,9.56136825e-11,1.9493752400000002e-15
25.0,0.45,0.0,0.45,0.0,0.0,1.75201427e-10,-3.50407037e-10,1.75201427e-10,4.32936998e-15
25.0,0.5,0.0,0.5,0.0,0.0,2.85834716e-10,-5.71680037e-10,2.85834716e-10,1.03133865e-14
25.0,0.55,0.0,0.55,0.0,0.0,4.33577235e-10,-8.67180106e-10,4.33577235e-10,2.53422211e-14
25.0,0.6,0.0,0.6,0.0,0.0,6.2627251e-10,-1.2526078e-09,6.2627251e-10,6.27937237e-14
25.0,0.65,0.0,0.65,0.0,0.0,8.73154929e-10,-1.74646519e-09,8.73154929e-10,1.55310505e-13
25.0,0.7,0.0,0.7,0.0,0.0,1.18504245e-09,-2.37046693e-09,1.18504245e-09,3.82102426e-13
25.0,0.75,0.0,0.75,0.0,0.0,1.57461542e-09,-3.15016591e-09,1.57461542e-09,9.34497494e-13
25.0,0.8,0.0,0.8,0.0,0.0,2.05671289e-09,-4.115698e-09,2.05671289e-09,2.27266076e-12
25.0,0.85,0.0,0.85,0.0,0.0,2.64865619e-09,-5.30281064e-09,2.64865619e-09,5.4983313e-12
25.0,0.9,0.0,0.9,0.0,0.0,3.37061413e-09,-6.75446321e-09,3.37061413e-09,1.32347587e-11
25.0,0.95,0.0,0.95,0.0,0.0,4.24602068e-09,-8.52372128e-09,4.24602068e-09,3.16792662e-11
25.0,1.0,0.0,1.0,0.0,0.0,5.3020537e-09,-1.06794005e-08,5.3020537e-09,7.52923992e-11
25.0,1.05,0.0,1.05,0.0,0.0,6.57018279e-09,-1.33174796e-08,6.57018279e-09,1.77113758e-10
25.0,1.1,0.0,1.1,0.0,0.0,8.08679511e-09,-1.65835221e-08,8.08679511e-09,4.09932139e-10
