Temperature,Vdd,Vdrain,Vgate,Vsource,Vbody,Idrain,Igate,Isource,Ibody
25.0,0.0,0.0,0.0,1.1,0.0,3.71049722e-05,1.12547434e-08,-0.00368297027,0.00364585405
25.0,0.05,0.0,0.05,1.1,0.0,3.59567813e-05,9.25739085e-09,-0.00368182038,0.00364585434
25.0,0.1,0.0,0.1,1.1,0.0,3.47302328e-05,7.68309816e-09,-0.00368059239,0.00364585447
25.0,0.15,0.0,0.15,1.1,0.0,3.34215047e-05,6.38827036e-09,-0.00367928241,0.00364585452
25.0,0.2,0.0,0.2,1.1,0.0,3.20263959e-05,5.28881827e-09,-0.00367788622,0.00364585454
25.0,0.25,0.0,0.25,1.1,0.0,3.05402706e-05,4.33806413e-09,-0.00367639915,0.00364585454
25.0,0.3,0.0,0.3,1.1,0.0,2.89579683e-05,3.50881191e-09,-0.00367481602,0.00364585455
25.0,0.35,0.0,0.35,1.1,0.0,2.72736852e-05,2.78289658e-09,-0.00367313101,0.00364585455
25.0,0.4,0.0,0.4,1.1,0.0,2.54808539e-05,2.1462192e-09,-0.00367133755,0.00364585455
25.0,0.45,0.0,0.45,1.1,0.0,2.35721048e-05,1.58665259e-09,-0.00366942824,0.00364585455
25.0,0.5,0.0,0.5,1.1,0.0,2.15395189e-05,1.09318243e-09,-0.00366739516,0.00364585454
25.0,0.55,0.0,0.55,1.1,0.0,1.93756181e-05,6.55560939e-10,-0.00366523082,0.00364585454
25.0,0.6,0.0,0.6,1.1,0.0,1.70759656e-05,2.64162026e-10,-0.00366293077,0.00364585454
25.0,0.65,0.0,0.65,1.1,0.0,1.46448548e-05,-9.01607677e-11,-0.00366049932,0.00364585456
25.0,0.7,0.0,0.7,1.1,0.0,1.21060337e-05,-4.16155999e-10,-0.00365796016,0.00364585454
25.0,0.75,0.0,0.75,1.1,0.0,9.51942962e-06,-7.22153004e-10,-0.00365537325,0.00364585454
25.0,0.8,0.0,0.8,1.1,0.0,6.9993823e-06,-1.01555386e-09,-0.00365285291,0.00364585454
25.0,0.85,0.0,0.85,1.1,0.0,4.71735315e-06,-1.30059519e-09,-0.0036505706,0.00364585454
25.0,0.9,0.0,0.9,1.1,0.0,2.8615509e-06,-1.58203406e-09,-0.00364871451,0.00364585454
25.0,0.95,0.0,0.95,1.1,0.0,1.54952781e-06,-1.88267535e-09,-0.00364740219,0.00364585455
25.0,1.0,0.0,1.0,1.1,0.0,7.57304449e-07,-2.24576269e-09,-0.00364660963,0.00364585457
25.0,1.05,0.0,1.05,1.1,0.0,3.44924516e-07,-2.86311419e-09,-0.00364619679,0.00364585473
25.0,1.1,0.0,1.1,1.1,0.0,1.52585828e-07,-4.6864983e-09,-0.00364600356,0.00364585566
